Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2008-3 Data Report
"March 6, 2008 (FTE 2008-3)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","2050 -Adamsville Elementary School",427,0,70,76,80,80,57,64,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",338,0,60,60,59,60,60,39,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",118,0,0,0,0,0,0,0,40,38,40,0,0,0,0
761,"Atlanta Public Schools","1008 -Bakers Ferry-Residential Facility",8,0,0,0,0,0,0,0,1,3,1,1,2,0,0
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",308,0,48,55,56,63,45,41,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",394,21,56,59,72,66,68,52,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",329,39,47,47,58,43,51,44,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1603,0,0,0,0,0,0,0,0,0,0,526,380,356,341
761,"Atlanta Public Schools","1308 -Benjamin S. Carsons Honors Preparatory Academy",383,0,0,0,0,0,0,0,0,165,218,0,0,0,0
761,"Atlanta Public Schools","5051 -Benteen Elementary School",297,0,55,44,47,63,41,47,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1052 -Bethune Elementary School",475,0,90,97,81,73,71,63,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4052 -Blalock Elementary School",319,0,59,44,58,59,51,48,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",456,19,73,90,84,64,59,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",327,45,49,45,59,48,38,43,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5561 -C. W. Hill Elementary School",304,10,52,59,47,47,53,36,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5054 -Capitol View Elementary School",234,0,37,51,46,28,50,22,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0196 -Cascade Elementary School",466,0,88,92,95,66,63,62,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",506,2,90,88,77,98,69,82,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",587,63,90,89,84,99,78,84,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",771,19,80,85,87,82,81,83,90,84,80,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",425,19,75,71,69,67,65,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5056 -Coan Middle School",341,0,0,0,0,0,0,0,106,109,126,0,0,0,0
761,"Atlanta Public Schools","2057 -Connally Elementary School",450,25,67,87,70,73,61,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3057 -Continental Colony Elementary School",434,0,76,86,77,60,75,60,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4057 -Cook Elementary School",313,18,37,63,46,64,46,39,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0908 -Coretta Scott King Young Womens Leadership Academy - C",182,0,0,0,0,0,0,0,182,0,0,0,0,0,0
761,"Atlanta Public Schools","0173 -Crawford Long Middle School",527,0,0,0,0,0,0,0,190,167,170,0,0,0,0
761,"Atlanta Public Schools","2664 -Crim High School",418,0,0,0,0,0,0,0,0,0,12,93,84,160,69
761,"Atlanta Public Schools","1563 -David T Howard Middle School",743,0,0,0,0,0,0,0,224,269,250,0,0,0,0
761,"Atlanta Public Schools","0304 -Deerwood Academy ",630,20,94,100,111,101,118,86,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1066 -E. Rivers Elementary School",490,55,94,81,64,69,67,60,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2059 -East Lake Elementary School",266,33,42,32,42,41,41,35,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1063 -Emma Hutchinson Elementary School",533,36,78,104,82,85,85,63,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5566 -F. L. Stanton Elementary School",302,0,39,65,46,60,49,43,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3059 -Fain Elementary School",516,0,107,96,83,82,89,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0105 -Finch Elementary",404,0,60,74,66,63,74,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5567 -Fred A. Toomer Elementary School",197,24,34,33,27,27,25,27,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4058 -Frederick Douglass High School",1741,0,0,0,0,0,0,0,0,0,0,445,438,404,454
761,"Atlanta Public Schools","0106 -G.W. Carver High School Early College",251,0,0,0,0,0,0,0,0,0,0,94,75,82,0
761,"Atlanta Public Schools","1560 -Garden Hills Elementary School",557,6,117,110,81,102,73,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5560 -Grove Park Elementary School",457,20,66,78,82,59,83,69,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0403 -Hank Aaron New Beginnings Academy",446,0,0,0,0,0,0,0,31,87,135,149,38,6,0
761,"Atlanta Public Schools","0504 -Harper-Archer Middle School",746,0,0,0,0,0,0,0,252,222,272,0,0,0,0
761,"Atlanta Public Schools","0103 -Heritage Academy Elementary School",488,22,68,80,95,86,72,65,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0100 -Herman J. Russell West End Academy",546,0,0,0,0,0,0,0,162,179,205,0,0,0,0
761,"Atlanta Public Schools","0203 -Herndon Elementary ",332,0,48,61,64,45,55,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0207 -Hillside Conant School",72,0,0,1,0,7,5,12,10,10,9,11,3,4,0
761,"Atlanta Public Schools","2563 -Jackson Elementary School",848,6,163,165,148,137,123,106,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0282 -Jean Childs Young Middle School",820,0,0,0,0,0,0,0,255,259,306,0,0,0,0
761,"Atlanta Public Schools","0104 -John Wesley Dobbs Elementary School",410,22,60,68,69,66,68,57,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5562 -Joseph Humphries Elementary School",297,0,56,41,45,57,51,47,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0288 -Judson Price Middle School",600,0,0,0,0,0,0,0,205,188,207,0,0,0,0
761,"Atlanta Public Schools","0605 -KIPP WAYS Academy Charter School",296,0,0,0,0,0,0,83,80,74,59,0,0,0,0
761,"Atlanta Public Schools","5563 -Kennedy Middle School",418,34,0,0,0,0,0,0,126,115,143,0,0,0,0
761,"Atlanta Public Schools","1064 -L. O. Kimberly Elementary School",433,54,63,72,63,65,54,62,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4063 -M. A. Jones Elementary School",488,19,94,88,86,76,57,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0373 -Martin L. King Jr. Middle School",547,0,0,0,0,0,0,0,187,165,195,0,0,0,0
761,"Atlanta Public Schools","2564 -Mary Lin Elementary School",521,23,97,89,93,77,73,69,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0186 -Maynard Jackson High School",875,0,0,0,0,0,0,0,0,0,0,301,216,187,171
761,"Atlanta Public Schools","4560 -Midtown High School",1269,0,0,0,0,0,0,0,0,0,0,407,314,283,265
761,"Atlanta Public Schools","0204 -Miles Elementary School",467,40,67,83,74,64,71,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1664 -Morningside Elementary School",949,3,179,183,172,150,132,130,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2053 -Morris Brandon Elementary School",788,6,162,168,147,116,98,91,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0192 -North Atlanta High School",1126,0,0,0,0,0,0,0,0,0,0,384,270,238,234
761,"Atlanta Public Schools","5664 -Parks Middle School",410,0,0,0,0,0,0,0,142,144,124,0,0,0,0
761,"Atlanta Public Schools","0101 -Parkside Elementary School",567,33,82,111,89,104,97,51,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5558 -Paul L. Dunbar Elementary School",225,19,31,39,35,42,28,31,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3065 -Peyton Forest Elementary School",461,0,83,90,96,67,53,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3559 -R. N. Fickett Elementary School",516,20,75,77,83,91,79,91,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0180 -Ralph Bunche Middle School",827,0,0,0,0,0,0,0,287,301,239,0,0,0,0
761,"Atlanta Public Schools","1567 -Sara Rawson Smith Elementary School",836,4,146,141,146,142,126,131,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0406 -School of Health Sciences and Research at Carver",294,0,0,0,0,0,0,0,0,0,0,125,96,73,0
761,"Atlanta Public Schools","0306 -School of Technology at Carver",299,0,0,0,0,0,0,0,0,0,0,111,103,85,0
