Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2009-1 Data Report
"Oct 7, 2008 (FTE 2009-1)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","2050 -Adamsville Elementary School",394,0,54,76,85,76,52,51,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",352,0,59,60,60,60,58,55,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",129,0,0,0,0,0,0,0,50,38,41,0,0,0,0
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",300,0,49,54,45,55,59,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",394,1,58,59,68,77,60,71,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",344,41,43,51,54,61,49,45,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1752,0,0,0,0,0,0,0,0,0,0,624,388,379,361
761,"Atlanta Public Schools","1308 -Benjamin S. Carsons Honors Preparatory Academy",140,0,0,0,0,0,0,0,0,0,140,0,0,0,0
761,"Atlanta Public Schools","5051 -Benteen Elementary School",252,0,35,43,41,40,53,40,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1052 -Bethune Elementary School",465,0,81,83,87,78,69,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4052 -Blalock Elementary School",261,0,40,39,42,48,50,42,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",494,36,84,82,77,89,63,63,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",300,41,53,46,38,49,41,32,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5561 -C. W. Hill Elementary School",311,9,68,47,50,46,48,43,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5054 -Capitol View Elementary School",245,0,39,34,56,42,26,48,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0196 -Cascade Elementary School",387,0,73,65,74,68,48,59,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",521,1,103,96,81,80,95,65,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",597,60,78,92,101,84,96,86,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",801,40,75,77,85,86,80,91,94,90,83,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",412,19,67,62,67,68,61,68,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5056 -Coan Middle School",330,0,0,0,0,0,0,0,115,106,109,0,0,0,0
761,"Atlanta Public Schools","2057 -Connally Elementary School",422,19,54,72,79,68,66,64,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3057 -Continental Colony Elementary School",427,0,70,83,65,72,65,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4057 -Cook Elementary School",329,20,55,45,60,41,59,49,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0908 -Coretta Scott King Young Womens Leadership Academy - C",319,0,0,0,0,0,0,0,138,181,0,0,0,0,0
761,"Atlanta Public Schools","0173 -Crawford Long Middle School",553,0,0,0,0,0,0,0,201,183,169,0,0,0,0
761,"Atlanta Public Schools","2664 -Crim High School",628,0,0,0,0,0,0,0,0,0,28,105,174,212,109
761,"Atlanta Public Schools","1563 -David T Howard Middle School",761,0,0,0,0,0,0,0,255,233,273,0,0,0,0
761,"Atlanta Public Schools","0304 -Deerwood Academy ",689,19,90,118,119,124,104,115,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1066 -E. Rivers Elementary School",461,26,83,83,81,60,61,67,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2059 -East Lake Elementary School",235,20,34,35,25,39,37,45,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1063 -Emma Hutchinson Elementary School",528,41,87,86,83,76,80,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5566 -F. L. Stanton Elementary School",324,0,45,57,61,52,61,48,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3059 -Fain Elementary School",509,0,93,96,103,75,70,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0105 -Finch Elementary",434,0,74,68,79,74,67,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5567 -Fred A. Toomer Elementary School",192,25,39,31,26,24,24,23,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4058 -Frederick Douglass High School",1722,0,0,0,0,0,0,0,0,0,0,558,350,426,388
761,"Atlanta Public Schools","0106 -G.W. Carver High School Early College",333,0,0,0,0,0,0,0,0,0,0,94,88,72,79
761,"Atlanta Public Schools","1560 -Garden Hills Elementary School",579,5,122,113,97,77,90,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5560 -Grove Park Elementary School",408,20,61,65,69,72,57,64,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0403 -Hank Aaron New Beginnings Academy",402,0,0,0,0,0,0,0,4,55,114,166,48,15,0
761,"Atlanta Public Schools","0504 -Harper-Archer Middle School",647,0,0,0,0,0,0,0,209,231,207,0,0,0,0
761,"Atlanta Public Schools","0103 -Heritage Academy Elementary School",480,19,66,75,87,91,69,73,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0100 -Herman J. Russell West End Academy",575,0,0,0,0,0,0,0,182,192,201,0,0,0,0
761,"Atlanta Public Schools","0203 -Herndon Elementary ",299,0,45,42,59,54,47,52,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0207 -Hillside Conant School",73,0,0,0,2,4,4,7,10,13,7,7,14,3,2
761,"Atlanta Public Schools","2563 -Jackson Elementary School",924,3,182,165,161,158,139,116,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0282 -Jean Childs Young Middle School",725,0,0,0,0,0,0,0,258,225,242,0,0,0,0
761,"Atlanta Public Schools","0104 -John Wesley Dobbs Elementary School",567,19,83,96,92,94,89,94,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5562 -Joseph Humphries Elementary School",324,19,57,52,53,39,55,49,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0288 -Judson Price Middle School",555,0,0,0,0,0,0,0,168,201,186,0,0,0,0
761,"Atlanta Public Schools","0605 -KIPP WAYS Academy Charter School",326,0,0,0,0,0,0,94,96,70,66,0,0,0,0
761,"Atlanta Public Schools","5563 -Kennedy Middle School",373,37,0,0,0,0,0,0,108,118,110,0,0,0,0
761,"Atlanta Public Schools","1064 -L. O. Kimberly Elementary School",404,60,51,55,62,69,56,51,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4063 -M. A. Jones Elementary School",472,20,73,93,79,88,68,51,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0373 -Martin L. King Jr. Middle School",660,0,0,0,0,0,0,0,224,213,223,0,0,0,0
761,"Atlanta Public Schools","2564 -Mary Lin Elementary School",532,22,77,101,87,96,80,69,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0186 -Maynard Jackson High School",918,0,0,0,0,0,0,0,0,0,0,299,226,222,171
761,"Atlanta Public Schools","4560 -Midtown High School",1313,0,0,0,0,0,0,0,0,0,0,396,327,323,267
761,"Atlanta Public Schools","0204 -Miles Elementary School",450,31,58,73,78,71,65,74,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1664 -Morningside Elementary School",972,4,173,184,181,161,143,126,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2053 -Morris Brandon Elementary School",815,5,173,166,157,134,94,86,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0192 -North Atlanta High School",1088,0,0,0,0,0,0,0,0,0,0,440,195,238,215
761,"Atlanta Public Schools","5664 -Parks Middle School",422,0,0,0,0,0,0,0,135,152,135,0,0,0,0
761,"Atlanta Public Schools","0101 -Parkside Elementary School",621,25,102,93,103,95,109,94,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5558 -Paul L. Dunbar Elementary School",228,17,34,31,41,41,33,31,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3065 -Peyton Forest Elementary School",454,0,76,84,85,83,73,53,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3559 -R. N. Fickett Elementary School",551,20,81,90,95,89,101,75,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0180 -Ralph Bunche Middle School",889,0,0,0,0,0,0,0,304,284,301,0,0,0,0
761,"Atlanta Public Schools","1567 -Sara Rawson Smith Elementary School",891,2,166,156,153,150,143,121,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0406 -School of Health Sciences and Research at Carver",434,0,0,0,0,0,0,0,0,0,0,145,115,101,73
761,"Atlanta Public Schools","0306 -School of Technology at Carver",409,0,0,0,0,0,0,0,0,0,0,122,104,99,84
761,"Atlanta Public Schools","0208 -South Atlanta Law and Social Justice School",264,0,0,0,0,0,0,0,0,0,0,141,70,52,1
761,"Atlanta Public Schools","0308 -South Atlanta Leadership and Economic Empowerment School",155,0,0,0,0,0,0,0,0,0,0,4,0,5,146
761,"Atlanta Public Schools","0408 -South Atlanta School of Computer Animation and Design",250,0,0,0,0,0,0,0,0,0,0,121,79,50,0
761,"Atlanta Public Schools","0108 -South Atlanta School of Health and Medical Science",265,0,0,0,0,0,0,0,0,0,0,121,86,58,0
761,"Atlanta Public Schools","0188 -Sylvan Hills Middle School",415,0,0,0,0,0,0,0,138,141,136,0,0,0,0
761,"Atlanta Public Schools","0296 -T. J. Perkerson Elementary School",353,22,53,54,48,62,52,62,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0205 -Tech High School",243,0,0,0,0,0,0,0,0,0,0,63,61,61,58
761,"Atlanta Public Schools","1408 -The Best Academy at Benjamin S. Carson",213,0,0,0,0,0,0,0,99,114,0,0,0,0,0
761,"Atlanta Public Schools","0107 -The Bridge",35,0,0,0,0,0,0,0,1,1,6,6,19,1,1
761,"Atlanta Public Schools","2062 -The John Hope-Charles Walter Hill Elementary Schools",181,0,30,41,35,21,26,28,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0506 -The School of the Arts at Carver",300,0,0,0,0,0,0,0,0,0,0,89,73,75,63
761,"Atlanta Public Schools","0808 -Therrell School of Business and Entrepreneurship - C",198,0,0,0,0,0,0,0,0,0,0,4,4,5,185
761,"Atlanta Public Schools","0608 -Therrell School of Engineering  Math  and Science - C",269,0,0,0,0,0,0,0,0,0,0,154,48,67,0
761,"Atlanta Public Schools","0708 -Therrell School of Health and Science - C",251,0,0,0,0,0,0,0,0,0,0,107,89,55,0
761,"Atlanta Public Schools","0508 -Therrell School of Law  Government and Public Policy - C",249,0,0,0,0,0,0,0,0,0,0,124,52,63,10
761,"Atlanta Public Schools","4066 -Thomas Heathe Slater Elementary School",531,14,69,107,83,94,87,77,0,0,0,0,0,0,0
761,"Atlanta Public Schools","5067 -Thomasville Heights Elementary School",545,18,87,92,100,83,91,74,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1068 -Towns Elementary School",392,20,55,69,63,64,51,70,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0191 -Turner Middle School",298,0,0,0,0,0,0,0,89,99,110,0,0,0,0
761,"Atlanta Public Schools","0405 -University Community Academy",395,0,47,31,47,55,38,40,57,45,35,0,0,0,0
761,"Atlanta Public Schools","2568 -Venetian Hills Elementary School",386,0,70,55,77,64,68,52,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4568 -Washington High School Senior Academy",1324,0,0,0,0,0,0,0,0,0,0,419,338,311,256
761,"Atlanta Public Schools","1208 -Wesley International Academy Charter",463,0,98,84,63,48,47,45,45,33,0,0,0,0,0
761,"Atlanta Public Schools","2569 -West Manor Elementary School",280,0,49,46,49,48,54,34,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3069 -White Elementary School",293,0,35,53,48,62,52,43,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3569 -Whitefoord Elementary School",254,0,30,38,45,35,59,47,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3566 -William J. Scott Elementary School",472,16,97,75,84,74,61,65,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1053 -William M.Boyd Elementary School",276,0,46,49,55,46,37,43,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4569 -Williams Elementary School",343,20,59,60,60,45,44,55,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3067 -Willis A. Sutton Middle School",931,0,0,0,0,0,0,0,334,329,268,0,0,0,0
761,"Atlanta Public Schools","5569 -Woodson Elementary School",381,29,63,75,53,58,56,47,0,0,0,0,0,0,0
761,"Atlanta Public Schools"," System Total for Atlanta Public Schools",49032,885,4351,4503,4543,4337,4040,3903,3314,3347,3190,4309,2948,2893,2469
