Georgia Department of Education
FTE Enrollment by Grade Level(PK-12) - Fiscal Year 2015-1 Data Report
"October 7, 2014 (FTE 2015-1)"
761-Atlanta Public Schools
 
System ID, System Name,School Name, Total,Grade PK,Grade KK, Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
761,"Atlanta Public Schools","0413 -Adamsville Primary School",413,29,133,130,121,0,0,0,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0415 -Atlanta Classical Academy",486,0,55,54,54,54,54,54,54,53,54,0,0,0,0
761,"Atlanta Public Schools","0505 -Atlanta Neighborhood Charter - Elementary",432,0,72,72,72,72,72,72,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0206 -Atlanta Neighborhood Charter - Middle",235,0,0,0,0,0,0,0,81,74,80,0,0,0,0
761,"Atlanta Public Schools","5066 -Barack and Michelle Obama Academy",249,22,43,35,39,44,38,28,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0604 -Bazoline E. Usher/Collier Heights Elmentary School",436,21,74,64,70,68,66,73,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3051 -Beecher Hills Elementary School",373,39,52,61,57,62,57,45,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0182 -Benjamin E. Mays High School",1707,0,0,0,0,0,0,0,0,0,0,699,375,265,368
761,"Atlanta Public Schools","5051 -Benteen Elementary School",304,18,52,49,48,59,40,38,0,0,0,0,0,0,0
761,"Atlanta Public Schools","1052 -Bethune Elementary School",520,18,87,87,93,91,66,78,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0303 -Bolton Academy Elementary ",618,53,103,105,103,91,90,73,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0315 -Booker T. Washington High School",835,0,0,0,0,0,0,0,0,0,0,310,237,142,146
761,"Atlanta Public Schools","0305 -Burgess-Peterson Elementary School",361,53,68,56,54,57,45,28,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0196 -Cascade Elementary School",459,18,96,72,87,80,57,49,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0199 -Centennial Place Academy (Charter)",634,0,110,93,92,97,101,64,77,0,0,0,0,0,0
761,"Atlanta Public Schools","0515 -Charles Drew Charter JA/SR Academy",567,0,0,0,0,0,0,0,120,127,120,116,84,0,0
761,"Atlanta Public Schools","2560 -Charles L. Gideons Elementary School",458,22,65,73,75,81,84,58,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0201 -Charles R. Drew Charter School",979,92,167,156,169,135,137,123,0,0,0,0,0,0,0
761,"Atlanta Public Schools","4056 -Cleveland Avenue Elementary School",365,32,50,57,62,62,57,45,0,0,0,0,0,0,0
761,"Atlanta Public Schools","2057 -Connally Elementary School",384,20,60,66,63,71,48,56,0,0,0,0,0,0,0
761,"Atlanta Public Schools","3057 -Continental Colony Elementary School",472,25,90,86,72,72,61,66,0,0,0,0,0,0,0
761,"Atlanta Public Schools","0120 -Coretta Scott King Young Women's Academy Middle School - C",284,0,0,0,0,0,0,0,86,96,102,0,0,0,0
761,"Atlanta Public Schools","0173 -Crawford Long Middle School",659,0,0,0,0,0,0,0,219,230,210,0,0,0,0
